grdc_id,drain_area_km2,maxz_m,mean_runoff_mm_day,total_flow_m,event_flow,seasonal_flow_m,annual_flow_m,event_frac,seasonal_frac,annual_frac,DJF_mean_runoff_mm_day,DJF_mean_TRMMrainfall_mm_day,MAM_mean_runoff_mm_day,MAM_mean_TRMMrainfall_mm_day,JJA_mean_runoff_mm_day,JJA_mean_TRMMrainfall_mm_day,SON_mean_runoff_mm_day,SON_mean_TRMMrainfall_mm_day,dist_from_sw_km
6688800,855,3371.489014,2.650168905,9.678416842,3.475098947,3.365456842,2.837861053,0.359056549,0.347728032,0.293215419,1.278058116,4.500078442,3.80419222,2.271603027,3.893382151,4.231182353,1.586637363,3.229807869,294.6995379
6690100,2549,3160.797607,0.764610394,2.79235716,1.319489682,0.91233519,0.560532287,0.472536143,0.326725823,0.200738034,0.217465742,3.310377139,1.969300152,0.86611994,0.622979856,1.53570784,0.232203795,1.644819647,NaN
6983400,328,618.3879395,0.576601536,2.087297561,1.579697561,0.5076,0,0.75681474,0.24318526,0,1.404099292,3.215930378,0.816585366,1.913113672,0.045735728,2.010761288,0.031443639,2.365918258,1.202298584
6983500,201,847.001709,0.510477187,1.864262687,1.842770149,0.021492537,0,0.988471294,0.011528706,0,1.378667637,3.578851312,0.581232966,2.161459718,0.034107722,2.255396416,0.059990159,2.84738406,19.93785936
6983600,765,964.7231445,1.894764513,6.91968,5.918908235,1.00032,0.000451765,0.855373115,0.144561598,6.53E-05,4.449907395,4.020527085,2.233289003,2.610551973,0.228705882,2.747343197,0.704206852,3.84511377,17.64928681
6983700,765,2348.04834,1.044860549,3.433411765,1.987651765,1.046174118,0.399585882,0.578914474,0.304703947,0.116381579,1.050589686,4.089552942,1.637510656,3.574176429,0.975004263,3.164408879,0.510648567,4.473871298,40.0823941
6983750,504,3721.562256,4.599796589,16.79845714,6.134228571,8.7264,1.937828571,0.365166189,0.519476278,0.115357533,0.920240735,3.775353074,3.202360248,5.01067607,10.97124224,4.400268887,3.21833595,5.366053161,9.648355556
6983800,3800,5277.42627,1.715822217,6.266182737,2.279823158,3.094620632,0.891738947,0.363829664,0.493860579,0.142309758,0.386072587,3.311130865,1.314584897,4.6352337,4.037049886,4.338324051,1.092792597,4.700353426,30.23400932
6984500,1490,4967.376465,1.827556267,6.00717745,1.777752483,2.970246443,1.259178523,0.295938067,0.494449593,0.20961234,0.51788012,2.395480918,1.238867814,3.94117883,4.13007295,3.707181074,1.393377093,3.023015167,4.657633225
6984700,1850,4033.551514,0.628035554,2.064352865,0.737155459,1.075656649,0.251540757,0.357087915,0.521062395,0.12184969,0.129237651,1.167553478,0.43160517,2.95322518,1.49239953,2.998345116,0.447296703,2.344565777,19.97075232
6984800,481,3810.884277,1.577723116,5.185975884,1.652916424,2.527514345,1.005545114,0.318728135,0.487374874,0.19389699,0.465434286,1.317323822,1.454795263,3.360616532,3.342384525,2.604888777,1.020730621,2.901238763,11.66928195
6985050,255,1797.123047,4.73044778,17.27559529,11.61859765,4.823491765,0.833505882,0.672543982,0.279208426,0.048247593,7.747864875,5.115191334,6.245769821,3.556295921,1.748255754,3.188242098,3.222546865,5.52725499,10.48919907
6985100,423,2542.871094,5.992272592,21.87778723,10.78365957,7.856068085,3.238059574,0.492904491,0.359088787,0.148006722,7.476831627,5.172061435,8.815171138,4.25365827,3.639923136,3.421548993,4.042459668,5.901743594,7.376698329
6985150,238,2154.686523,5.658203172,20.66375798,12.90082689,5.626527731,2.136403361,0.624321428,0.272289665,0.103388907,7.056453446,5.595932845,8.184640117,3.960380325,3.023368652,3.298478875,4.381833964,6.061895825,15.24501912
6985200,1410,3292.754395,6.400518282,23.37469277,9.493582979,8.502801702,5.378308085,0.406147926,0.363761004,0.230091071,3.31844695,5.916911852,9.696821462,5.578430008,8.700477336,3.852646573,3.797734861,6.703478024,10.73871548
6985300,310,3037.603027,5.529853372,20.19502452,9.336216774,5.916170323,4.942637419,0.46230282,0.292951876,0.244745304,2.862490523,4.470478257,7.20858345,4.860059577,7.549093969,4.896589303,4.435159163,6.425732447,67.3650303
6985350,1100,2795.077393,4.533827741,16.55753891,6.266199273,3.513102545,6.778237091,0.37844992,0.212175406,0.409374674,4.427020359,4.015153801,5.222418972,3.82727799,4.231209486,3.402877885,4.249481718,4.699972598,140.5871175
6985360,469,2714.253174,4.697570516,15.44091429,7.41566226,2.753930917,5.271321109,0.480260568,0.17835284,0.341386592,4.47078051,4.096541442,5.482821915,3.792970735,4.263131547,3.420160455,4.567754633,5.149729271,148.2173712
6990100,461,3354.719971,1.446284923,5.281832538,2.284820824,2.004067679,0.992944035,0.43258108,0.379426584,0.187992336,0.484545791,2.535161281,2.17100066,4.100590687,2.312379515,3.65178332,0.791277443,3.112365142,34.32796101
6990150,107,3686.300293,4.417905437,16.13419065,1.875768224,4.127013084,10.13140935,0.116260447,0.255793003,0.627946549,3.174403713,2.597050127,4.3419423,4.834932279,6.017456319,4.480819501,4.110144808,3.824218076,17.22111828
6990300,1070,3046.077881,0.606315014,1.107131215,0.463895327,0.408825421,0.234410467,0.419006637,0.369265553,0.21172781,0.261758501,1.558498823,1.234210484,3.341848621,0.650369768,2.068023576,0.268508165,1.434671978,201.4348037
6990500,332,3333.621338,1.109706752,3.646496386,1.389686747,1.401657831,0.855151807,0.381101913,0.384384813,0.234513274,0.376402775,0.867073394,1.607647983,2.349513229,1.771398638,1.588571083,0.663471468,1.486769713,NaN