sample_name,river_mouth,out_x,out_y,center_x,center_y,drainage_area,outlet_elevation,mean_el,max_el,se_el,std_el,mean_ksn,se_ksn,std_ksn,mean_ksn_0_45,se_ksn_0_45,std_ksn_0_45,mean_gradient,se_gradient,std_gradient,hyp_integral,dist_along_115,concavity,trunk_concavity,chi_R_squared,mean_ksn_q,se_ksn_q,std_ksn_q,mean_TRMM_MAP,se_TRMM_MAP,std_TRMM_MAP,mean_TRMM_TOP5,se_TRMM_TOP5,std_TRMM_TOP5,mean_SNOWperc,se_SNOWperc,std_SNOWperc,mean_SNOWstd,se_SNOWstd,std_SNOWstd,mean_EVI_DJF,se_EVI_DJF,std_EVI_DJF,mean_EVI_MAM,se_EVI_MAM,std_EVI_MAM,mean_EVI_JJA,se_EVI_JJA,std_EVI_JJA,mean_EVI_SON,se_EVI_SON,std_EVI_SON,mean_rlf1000,se_rlf1000,std_rlf1000,mean_rlf2500,se_rlf2500,std_rlf2500,mean_rlf5000,se_rlf5000,std_rlf5000,region,be10_atom_per_g,be10_unc,St_E_rate_g_cm2_yr,St_E_rate_m_Myr,St_Int_Unc,St_Ext_Unc,Lm_E_rate_g_cm2_yr,Lm_E_rate_m_Myr,Lm_Int_Unc,Lm_Ext_Unc,LSDn_E_rate_g_cm2_yr,LSDn_E_rate_m_Myr,LSDn_Int_Unc,LSDn_Ext_Unc,mode_rock_type,mode_rock_type_percent,rock_type_perc_unmapped,rock_type_perc_limestone_minor_clastics,rock_type_perc_limestone_marl,rock_type_perc_limestone,rock_type_perc_marl,rock_type_perc_limestone_sandstone,rock_type_perc_sandstone_shale,rock_type_perc_sandstone_minor_carbonate,rock_type_perc_shale,rock_type_perc_conglomerates,rock_type_perc_volcanic_undiff,rock_type_perc_phyllite_schist,rock_type_perc_granite,mksn_unmapped,mgrad_unmapped,mksn_limestone_minor_clastics,mgrad_limestone_minor_clastics,mksn_limestone_marl,mgrad_limestone_marl,mksn_limestone,mgrad_limestone,mksn_marl,mgrad_marl,mksn_limestone_sandstone,mgrad_limestone_sandstone,mksn_sandstone_shale,mgrad_sandstone_shale,mksn_sandstone_minor_carbonate,mgrad_sandstone_minor_carbonate,mksn_shale,mgrad_shale,mksn_conglomerates,mgrad_conglomerates,mksn_volcanic_undiff,mgrad_volcanic_undiff,mksn_phyllite_schist,mgrad_phyllite_schist,mksn_granite,mgrad_granite
10315-1,10,1017917.58,793610.6573,1016357.58,795650.6573,6.471,716,1113.658447,1526,2.181872129,185.0093689,160.1387454,30.28495056,74.18267575,77.44776553,15.08217183,36.94362519,0.472291589,0.00175413,0.148739442,0.4957637,250159.6693,0.656835938,0.664036424,0.993541929,152.7738753,28.89212882,70.77097318,0.910148501,1.71E-07,1.45E-05,0.147411823,1.53E-08,1.30E-06,7.163838863,0.012324408,1.04503417,8.443532944,0.014585965,1.236800432,0.2050042,0.000135499,0.01148948,0.536533415,0.000269513,0.022853035,0.554952979,0.000158971,0.013479786,0.29652375,0.00024644,0.020896619,509.2552185,0.902629495,76.53744507,739.5559082,0.847768188,71.88554382,810,0,0,CGC,73614.29794,4341.30982,0.0243,90,5.33,8.9,0.0244,90.2,5.34,8.64,0.0232,85.9,5.08,7.19,sandstone_shale,55.84144645,0,0,0,0,44.15855355,0,55.84144645,0,0,0,0,0,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,175.8896698,0.4741696,NaN,NaN,168.6732668,0.4708065,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
92215-1,15,779837.5795,892160.6573,783647.5795,888530.6573,26.2872,869,2010.4021,3230,2.927082062,500.2485352,443.0680422,38.04721012,131.799402,202.6754964,15.21864735,52.71894086,0.565346122,0.001156922,0.197722003,0.4894112,0,0.223730469,0.239759237,0.969759632,586.3857258,50.43486444,174.7114954,1.750482798,0.000272568,0.046582852,0.167075187,1.82E-08,3.11E-06,43.65660095,0.032703802,5.589193344,33.74085999,0.015368772,2.626576662,0.071472362,0.000668153,0.114189655,0.301074445,0.000655966,0.112106942,0.452577561,0.000351982,0.060154878,0.165863469,0.000425675,0.072749272,783.0105591,0.705057204,120.4967346,1362.114502,0.933484852,159.5358124,1955.988892,1.105684519,188.965332,WGC,43443.74404,4044.71508,0.0807,299,27.9,36.5,0.0797,295,27.5,35.3,0.0795,294,27.4,32.5,sandstone_shale,92.26239386,0,0,0,0,0,0,92.26239386,0,0,0,0,7.737606135,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,456.3918016,0.5776749,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.4183403,NaN,NaN
92315-1,17,798857.5795,823100.6573,804137.5795,825920.6573,38.0268,154,583.675354,1524,1.21466589,249.6781158,148.9094658,13.07237177,64.04128115,69.09797359,5.974715168,29.27000704,0.26597628,0.000820046,0.168562934,0.3167578,45030.37592,0.465136719,0.495756037,0.956067407,194.2988149,17.05698379,83.56181367,1.702444315,4.34E-07,8.93E-05,0.198611662,6.31E-09,1.30E-06,12.34175873,0.015517899,3.189749241,17.09566498,0.020730166,4.261146069,0.228273451,9.76E-05,0.020061685,0.520939708,0.000247168,0.050806198,0.574279845,0.000156315,0.03213108,0.362754971,0.000150521,0.030940102,342.7701416,0.59676224,122.666214,650.5618896,0.75294292,154.7696075,1014.211792,1.017770529,209.2057037,WGC,22694.09639,1845.858677,0.0559,207,16.9,23.5,0.0557,206,16.8,22.9,0.0518,192,15.6,19.3,volcanic_undiff,43.44409732,0,0,9.784152229,29.42819275,0,0,9.014957872,8.32859983,0,0,43.44409732,0,0,NaN,NaN,NaN,NaN,137.8879963,0.2576042,164.5556001,0.2521415,NaN,NaN,NaN,NaN,121.4040235,0.2436838,131.3519356,0.2554967,NaN,NaN,NaN,NaN,121.3593152,0.2838672,NaN,NaN,NaN,NaN
92315-3,19,816827.5795,861050.6573,822767.5795,863030.6573,61.1343,644,1790.266113,2990,1.943018079,506.4050903,426.4878212,15.84039757,93.71305582,196.7776987,6.612209647,39.11835981,0.619859636,0.00078828,0.205447808,0.493535,46231.5263,0.496582031,0.51668355,0.976405636,547.9991771,20.38385082,120.5924878,1.649737716,1.99E-05,0.005189045,0.188801304,9.68E-06,0.002522176,32.49555969,0.030548057,7.961681366,29.69449615,0.014190601,3.698469162,0.072334692,0.000342361,0.089228913,0.376569301,0.000401486,0.104638413,0.534513414,0.000210451,0.054849491,0.211646363,0.000278572,0.072603695,882.9628906,0.487979889,127.1812668,1475.339966,0.7360726,191.8411865,2001.998657,0.712240338,185.629837,WGC,13050.49537,1397.391908,0.233,864,92.5,115,0.228,845,90.5,110,0.225,834,89.3,102,sandstone_shale,100,0,0,0,0,0,0,100,0,0,0,0,0,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,432.914489,0.6198608,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
92415-2,21,833027.5795,843140.6573,835157.5795,848810.6573,78.8661,487,1341.40271,2561,1.259280443,372.7746582,301.5311248,13.12214707,90.91290172,139.2269688,5.813795258,40.27915509,0.531971574,0.000689233,0.204028144,0.4161087,63470.31147,0.480371094,0.539586599,0.960186522,375.1055163,16.34243241,113.223693,1.566344857,0.000318356,0.094240248,0.191878304,2.01E-05,0.005935791,21.13895035,0.020666195,6.117647648,24.3022747,0.014833893,4.391158104,0.168837115,0.000155148,0.04592726,0.476188779,0.000169457,0.05016287,0.564089835,0.000188515,0.055804461,0.286805838,0.000184834,0.054715034,710.1378784,0.432739109,128.1002808,1125.475464,0.507231355,150.1516266,1518.938843,0.568126619,168.177948,WGC,19164.65815,2263.374583,0.115,425,50.2,60.4,0.113,420,49.7,58.8,0.11,406,47.9,53.6,sandstone_shale,62.05822273,0,0,0,3.882276415,0,0,62.05822273,0.786269386,0,0,33.27323146,0,0,NaN,NaN,NaN,NaN,NaN,NaN,407.310106,0.4825105,NaN,NaN,NaN,NaN,305.9405184,0.5352401,345.3388688,0.4142286,NaN,NaN,NaN,NaN,305.2562193,0.5344323,NaN,NaN,NaN,NaN
92415-3,22,869807.5795,843620.6573,868067.5795,845900.6573,26.3808,858,1331.980713,2185,1.453627348,248.8718719,213.4809783,21.52452936,83.36414376,99.6540605,9.02097551,34.93808792,0.454880893,0.000955432,0.163577139,0.3607955,94526.71988,0.605664063,0.666779881,0.968735618,247.9300749,24.9979095,96.81648719,1.348709822,3.91E-07,6.69E-05,0.201948807,7.53E-05,0.012900213,20.41368675,0.016611023,2.843931198,23.84463692,0.012150478,2.080252647,0.205489114,0.000193275,0.033090159,0.495218337,0.000140636,0.024077926,0.574588299,0.000172504,0.029533923,0.307139575,0.00014861,0.025443204,556.043335,0.90132004,154.3127289,931.9694824,1.194442153,204.4974365,1273.900879,0.452697814,77.50524902,WGC,55093.192,3801.136366,0.0386,143,9.88,15,0.0383,142,9.81,14.5,0.0368,136,9.42,12.4,sandstone_shale,58.80526747,0,0,0,0,0,0,58.80526747,0,0,0,41.19473253,0,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,188.5421744,0.4089424,NaN,NaN,NaN,NaN,NaN,NaN,222.9022507,0.5204548,NaN,NaN,NaN,NaN
92515-1,26,849287.5795,785150.6573,854147.5795,783770.6573,35.37,231,629.1412354,1228,1.117963552,221.6276398,160.9925267,13.26958373,57.8407745,74.59850129,5.833184849,25.42626327,0.294155955,0.000824172,0.163385659,0.403355,108168.1881,0.568554688,0.557994694,0.978290344,174.9298173,14.12557113,61.57193708,1.199237943,0.000208839,0.041400798,0.209188238,3.01E-10,5.96E-08,16.02615738,0.021749789,4.311727524,21.50531769,0.023552485,4.669098377,0.1776153,7.33E-05,0.014538816,0.496235132,0.000160796,0.031876657,0.521970928,0.000129508,0.025674015,0.302353263,0.000134436,0.02665085,324.6741028,0.400384486,79.3731308,513.3977661,0.570001543,112.9983978,738.3543091,0.738344133,146.3710175,LC,58305.27094,2763.115726,0.0219,81.1,3.86,7.49,0.022,81.7,3.88,7.27,0.0206,76.3,3.63,5.8,sandstone_shale,33.00422413,0,0,0,0,0,0,33.00422413,18.98569902,0,0,18.07725584,29.93282101,0,NaN,0.3673695,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,133.8965272,0.255013,143.6883108,0.2652969,NaN,NaN,NaN,NaN,156.0290657,0.2410875,191.8812172,0.3876566,NaN,NaN
92515-2,27,866177.5795,777410.6573,864377.5795,781220.6573,18.9513,558,1080.320801,1511,1.494878173,216.922226,214.2679327,13.77309645,45.68019314,101.1542405,7.193354591,23.85765816,0.432412058,0.001100448,0.159686297,0.5536035,118517.3933,0.415820313,0.408781308,0.99060382,229.2289187,14.7340588,48.86734467,1.137275696,0.000216123,0.031361688,0.209183097,3.50E-08,5.08E-06,26.78173447,0.025294755,3.670529604,30.35532188,0.018793184,2.727084637,0.190090284,0.000214863,0.031178763,0.534108222,0.000272785,0.03958394,0.583875,0.000233591,0.033896443,0.329065263,0.000145275,0.021080837,477.7892456,0.494374633,71.73885345,731.1121216,0.455628276,66.1163559,910.7403564,0.346253097,50.24489212,LC,73706.09402,4190.90368,0.0238,88,5.02,8.59,0.0238,88.3,5.04,8.34,0.0227,83.9,4.79,6.9,volcanic_undiff,95.40295389,0,0,0,0,0,0,1.168257587,0.384670181,0,0,95.40295389,0,3.044118345,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,227.1362927,0.4059634,227.1362927,0.3554718,NaN,NaN,NaN,NaN,218.8530506,0.4378365,NaN,NaN,NaN,0.2822777
92715-4,33,861527.5795,760160.6573,858647.5795,760280.6573,13.4163,928,1464.211182,1925,1.899757385,231.9494019,226.736448,13.81484653,39.07428665,108.6843469,7.344264713,20.77271753,0.48469606,0.001469343,0.179398283,0.5432259,122173.8761,0.50546875,0.521764049,0.987444781,227.64805,13.87038962,39.23138623,1.00805676,3.91E-09,4.77E-07,0.190996513,2.06E-08,2.52E-06,29.13691521,0.027461819,3.352929592,31.53652573,0.021104319,2.576715469,0.238032579,0.00020954,0.025583575,0.362841159,0.000111584,0.013623793,0.405971706,0.000133825,0.01633931,0.258357704,0.000149297,0.018228346,526.1453857,0.723565817,88.34320831,834.9629517,0.803346574,98.08397675,994.6422119,0.069333173,8.465180397,LC,140021.4875,72053.58302,0.0162,59.8,30.9,31.3,0.0164,60.7,31.4,31.7,0.0159,58.8,30.4,30.6,sandstone_shale,75.58194137,0,0,0,0,0,0,75.58194137,0,0,0,24.41805863,0,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,232.1371713,0.5101551,NaN,NaN,NaN,NaN,NaN,NaN,164.210085,0.4058931,NaN,NaN,NaN,NaN
93015-1,35,1002317.58,807440.6573,1002287.58,812600.6573,52.1802,1337,2018.462891,3057,1.469452262,353.8238525,267.1425577,16.15820462,80.7910231,127.6942268,8.787311872,43.93655936,0.559812069,0.000728456,0.175402194,0.4001402,230244.5392,0.684667969,0.680748169,0.946288546,281.1278833,17.11015159,85.55075793,1.108598828,4.94E-05,0.011902131,0.172516063,2.41E-05,0.005794171,29.80520248,0.032212667,7.756365776,30.7530098,0.020595893,4.959207058,0.044600155,0.00033776,0.081328057,0.440874726,0.000257278,0.061949093,0.585433185,0.000138207,0.033278324,0.224268302,0.000185504,0.044666696,760.0698853,0.644425273,155.1687164,1196.836426,0.811517596,195.4022522,1526.340576,0.46673885,112.3842773,CGC,120746.5441,4532.032498,0.028,104,3.9,9.08,0.0278,103,3.88,8.67,0.0275,102,3.84,7.15,limestone_minor_clastics,68.59325951,0,68.59325951,15.54382697,0,15.86291352,0,0,0,0,0,0,0,0,NaN,NaN,305.8880344,0.5994117,232.4727848,0.5163418,NaN,NaN,187.4681197,0.431177,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
93015-2,36,1000637.58,800840.6573,1002347.58,800780.6573,10.9944,1271,1649.379883,2058,1.497553587,165.518631,133.1866697,45.13878348,90.27756695,65.04687327,21.84438772,43.68877544,0.451631308,0.001173941,0.129751071,0.4855976,235294.2655,0.441894531,0.407164208,0.995464897,127.0613406,43.06282569,86.12565137,0.91015172,1.60E-07,1.77E-05,0.173856065,2.58E-08,2.85E-06,14.66601181,0.008596631,0.950151384,17.66601181,0.008596631,0.950151384,0.123846769,0.000288183,0.031851668,0.451364577,0.00016108,0.017803501,0.54156363,0.000173095,0.019131556,0.195144787,0.000166436,0.018395483,544.3685913,0.703486443,77.7535553,768.8358765,0.240981862,26.63476563,787,0,0,CGC,203484.0951,6587.826664,0.0126,46.5,1.52,4,0.0129,47.6,1.55,3.91,0.0126,46.7,1.52,3.17,sandstone_shale,56.32776686,0,0,0,43.67223314,0,0,56.32776686,0,0,0,0,0,0,NaN,NaN,NaN,NaN,NaN,NaN,188.8024348,0.4261392,NaN,NaN,NaN,NaN,172.1538074,0.471397,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
CT15081,37,974567.5795,839900.6573,973247.5795,837710.6573,7.9065,1907,2656.746338,3197,3.099123955,290.475708,409.2730497,37.98018674,65.78361312,189.1611213,15.33698533,26.56443783,0.578912556,0.002262066,0.212019652,0.5870417,193313.4165,0.099804687,0.100029613,0.985468467,469.1279924,43.53467391,75.40426711,1.313895583,1.44E-07,1.35E-05,0.155170456,3.51E-08,3.29E-06,52.78155899,0.045280952,4.2441082,38.8476944,0.005660119,0.530513465,-0.030424219,0.000171809,0.016103406,0.190732762,0.000798111,0.074805625,0.406429201,0.00052827,0.049513847,0.103217453,0.000327392,0.030685915,763.8077393,1.305050015,122.3201599,1147.95105,1.243649244,116.5651627,1290,0,0,CGC,26944.17217,3213.165762,0.188,696,83,99.6,0.183,678,80.9,95.6,0.187,693,82.7,92.3,sandstone_shale,100,0,0,0,0,0,0,100,0,0,0,0,0,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,408.1519344,0.5789125,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
CT15123,38,967697.5795,822800.6573,966377.5795,820880.6573,6.6636,1306,2018.478394,2689,3.740056753,321.8187866,383.3855219,50.97551982,72.09027148,184.0381158,31.06163802,43.92778976,0.568934977,0.001791551,0.154156685,0.5203555,194199.7473,0.724902344,0.724628652,0.990691861,404.6790385,53.80673806,76.09421871,1.114144087,2.58E-07,2.22E-05,0.15516834,1.37E-08,1.18E-06,28.85629463,0.020898731,1.798262715,32.72096252,0.017351029,1.492995381,0.006101414,0.000650523,0.055975188,0.37068513,0.000717988,0.061780356,0.546150267,0.000240618,0.020704305,0.130231127,0.000238073,0.020485386,807.4886475,1.175927877,101.1844788,1258.087769,1.190887213,102.4716797,1383,0,0,CGC,35510.82193,3608.213254,0.0956,354,36,45.6,0.094,348,35.4,44,0.093,344,35,40.5,sandstone_shale,69.13830362,0,30.86169638,0,0,0,0,69.13830362,0,0,0,0,0,0,NaN,NaN,351.6460473,0.6156032,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,429.1327832,0.5481032,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
CT15125,39,972947.5795,812780.6573,969317.5795,813320.6573,40.0527,1073,1781.600342,2561,1.495419264,315.4696655,276.1952409,15.87933287,86.97468809,130.2922086,7.202513012,39.44978848,0.55597353,0.000894178,0.188633397,0.4809893,200059.2863,0.527148438,0.513493867,0.978080235,291.5353297,16.76128281,91.80532687,1.114238739,3.44E-07,7.25E-05,0.191866711,1.09E-07,2.30E-05,26.70691872,0.027837358,5.872495174,31.05132294,0.020228248,4.267297268,0.046466708,0.000301544,0.063612886,0.424794734,0.000183889,0.03879264,0.517391443,0.000182462,0.03849164,0.198771298,0.000258993,0.054636471,754.5274658,0.523943543,110.5297318,1191.172607,0.406843603,85.8266449,1445.366089,0.213504925,45.04043198,CGC,65748.18126,3619.081456,0.0439,163,8.97,15.7,0.0433,161,8.85,15,0.0423,157,8.63,12.7,sandstone_shale,58.22978226,0,0,41.77021774,0,0,0,58.22978226,0,0,0,0,0,0,NaN,NaN,NaN,NaN,275.7205954,0.5251094,NaN,NaN,NaN,NaN,NaN,NaN,288.2225156,0.5781115,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
CT15131,41,978617.5795,783530.6573,973457.5795,787130.6573,35.1198,671,995.355835,1344,0.695365071,137.3623199,101.916989,8.757090738,40.13003117,46.67933773,3.559511674,16.31173168,0.198038369,0.000537531,0.106183797,0.4875655,214879.7728,0.284667969,0.272217948,0.966230841,102.0919428,8.772123426,40.19891961,1.003438115,9.66E-09,1.91E-06,0.186937705,2.72E-09,5.36E-07,11.14240646,0.00978699,1.933320642,15.85802841,0.011798525,2.330679178,0.161092401,0.000109296,0.021590268,0.443591714,0.00030822,0.060885683,0.452123225,0.00036217,0.071543105,0.25246653,0.000122727,0.024243511,252.8379364,0.253537893,50.08383942,390.2538452,0.190578789,37.64690781,534.5617065,0.352953076,69.7223053,CGC,177228.844,8262.466988,0.00902,33.4,1.57,3.09,0.00929,34.4,1.62,3.06,0.0089,33,1.55,2.5,conglomerates,55.7403516,0,0,1.665727026,0,0,0,42.59392138,0,0,55.7403516,0,0,0,NaN,NaN,NaN,NaN,NaN,0.203093,NaN,NaN,NaN,NaN,NaN,NaN,92.64338365,0.1926708,NaN,NaN,NaN,NaN,119.7044119,0.2019888,NaN,NaN,NaN,NaN,NaN,NaN
82916-1,42,1117727.58,750770.6573,1118507.58,754190.6573,21.2949,494,1165.768433,2103,2.311582327,355.5706482,297.3166767,24.31616619,84.23367056,139.1128377,10.46076836,36.23716459,0.463924199,0.001175895,0.18087779,0.4217196,360260.7628,0.391601563,0.491202873,0.951952039,297.4541456,24.32740914,84.2726173,1.00096643,2.70E-07,4.15E-05,0.147992417,7.84E-08,1.21E-05,9.510375977,0.032349505,4.976043701,11.96141338,0.035584301,5.473624229,0.213549033,0.000234245,0.036031827,0.521308124,0.000256052,0.039386302,0.557558537,0.000195485,0.030069763,0.327424943,0.000231156,0.035556797,670.6488647,0.909656465,139.9245605,1129.883301,1.110873103,170.8759766,1504.509033,0.739844739,113.8039017,ALZN,28710.93983,2239.29094,0.0667,247,19.3,27.4,0.0656,243,19,26.3,0.0621,230,17.9,22.5,sandstone_shale,73.39081188,0,0,0,0,0,0,73.39081188,26.60918812,0,0,0,0,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,298.7562995,0.4887959,269.6394188,0.3953235,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
