basin_id,center_x,center_y
6688800,630910.5077,641494.0938
6690100,709840.5077,519724.0938
6983400,432910.5077,1117414.094
6983500,490060.5077,1100854.094
6983600,530290.5077,1068364.094
6983700,600130.5077,1043884.094
6983750,732250.5077,928594.0938
6983800,759970.5077,945784.0938
6984500,967510.5077,853804.0938
6984700,1150570.508,797914.0938
6984800,1183690.508,753094.0938
6985050,563950.5077,1007794.094
6985100,585010.5077,996094.0938
6985150,591310.5077,981514.0938
6985200,652600.5077,941464.0938
6985300,767440.5077,847774.0938
6985350,776170.5077,773524.0938
6985360,755020.5077,767044.0938
6990100,955090.5077,814744.0938
6990150,952390.5077,831934.0938
6990300,938980.5077,647524.0938
6990500,1095940.508,599644.0938