cluster,k_e_mean,k_e_median,k_e_std,k_e_q25,k_e_q75,tau_c_mean,tau_c_median,tau_c_std,tau_c_q25,tau_c_q75
1.0,3.241817445308452e-11,1.123927336325596e-11,2.3229844471290607e-10,6.064661351505893e-12,2.0051424977412205e-11,47.47562920520287,47.059039710905566,7.391247631686802,42.588260081012955,52.737884841242234
3.0,2.65469364635356e-13,2.53418373936959e-13,8.625572149150565e-14,2.0583355797741065e-13,3.030772364514534e-13,80.36237406790579,80.03989724201986,5.051246937231467,76.9934964814085,83.94773145244858
0.0,1.315008453228689e-11,1.1445177509738618e-11,8.571407825236913e-12,7.965001405154756e-12,1.5602451171398243e-11,46.7067201749571,46.49643660220516,3.2194597226173745,44.55664755038336,48.989784821433965
3.0,1.3802080857317705e-12,1.373000675957232e-12,2.0539979914428935e-13,1.229223521687604e-12,1.501383543408859e-12,63.95654854637357,63.83005961015286,1.791658251463812,62.75420085214273,65.222981473415
0.0,1.4362458218979096e-12,1.4281717543439723e-12,2.210838546549948e-13,1.273717862334128e-12,1.5663638049524392e-12,69.59546605113745,69.42745519995879,2.3857667803698597,67.9946896259331,71.28201805931357
1.0,2.010121601033969e-12,1.8845892260537672e-12,8.059334035432318e-13,1.4635319621939598e-12,2.3373457132955004e-12,69.67317025126303,69.29788725850653,5.745800568378249,65.83623550670606,73.74745455809824
1.0,1.807556707364237e-11,1.6627949330568256e-11,8.595768541460226e-12,1.2306909348412015e-11,2.1396667627444306e-11,44.17166654146097,43.97080138857535,2.98759473159453,42.17291830035507,46.28782088592121
1.0,4.967082325690561e-12,4.820631558625394e-12,1.4175244326847096e-12,3.9424186255596984e-12,5.6861895732886e-12,55.303629375374136,55.10413428626928,2.8950028100142795,53.3638132229558,57.35212163094559
1.0,3.179084237941477e-12,3.099685236211843e-12,8.459676811543862e-13,2.564430778708944e-12,3.6197327168852293e-12,59.4392409586611,59.23830545343937,2.9101875207794228,57.489000083272686,61.498315700196414
1.0,1.8291789800367943e-12,1.7982850134522266e-12,4.086363340076834e-13,1.5304510612837937e-12,2.0515483467515874e-12,68.73525914124134,68.50192712692632,3.370631614272006,66.47609941079551,71.11983670134205
1.0,1.1843043869560815e-08,1.8839731704602656e-11,1.0121676957536105e-07,5.789521959847163e-12,6.955781409535522e-11,44.15832756499046,43.286526845541566,12.245118155503185,36.0072109887597,52.41549495347612
2.0,1.3109869254641205e-10,7.501167335516845e-11,3.220575996724704e-10,4.053131520671746e-11,1.2973431586763762e-10,38.6862002519368,38.51158445261396,2.7451573537361873,36.855829106787866,40.634884899633576
1.0,1.851017991869231e-12,1.681569381154072e-12,9.349774833213417e-13,1.2725709982295668e-12,2.1475557844391823e-12,77.85245996681174,77.30828985425782,8.674557098137452,72.07391949671829,84.01403074306519
1.0,3.3756849235433325e-12,3.323804255882983e-12,7.316310479851065e-13,2.839986119594621e-12,3.778238565340261e-12,61.34987250820858,61.146603653012384,2.91275008291629,59.39664248583654,63.409767236901864
1.0,1.149922621564005e-10,9.720074097329036e-11,8.561667829718983e-11,6.436118935376861e-11,1.3756039356422398e-10,34.82362759886757,34.662633878447565,2.418596871430781,33.20655401974915,36.53744114689133
1.0,2.2078881621615688e-12,2.1388911326731404e-12,6.224825215917453e-13,1.761844935794214e-12,2.514551867764144e-12,70.31473882105786,69.99166022061176,4.782198934333506,67.11442081281274,73.70135254468015
2.0,6.49007158393483e-11,6.399219217547854e-11,1.460348975040098e-11,5.4156272834974687e-11,7.312241042705028e-11,38.71839113246687,38.66313567553861,0.7657295071327188,38.20384831197301,39.259063192891034
1.0,6.103692571385522e-12,5.919181188824555e-12,1.7373821076628544e-12,4.85161569134546e-12,6.9757601271392464e-12,54.5940126662728,54.372199925289635,3.223588280923849,52.43425319694386,56.87512193655925
2.0,3.3297625197370905e-10,2.854015697834065e-10,2.3254116006906436e-10,1.9119041777927286e-10,3.9949616916860616e-10,32.90578259750201,32.80413406501813,1.4800385645974512,31.91423625246277,33.953250964983525
1.0,2.1086331547523342e-11,2.108442437385054e-11,2.2454853431192315e-12,1.9442633306308387e-11,2.2483076027819895e-11,40.535619654915465,40.4483534369943,1.191245287039815,39.734433787870444,41.37607567187834
1.0,1.5865566777753737e-12,1.51583104448797e-12,5.232353467444207e-13,1.2215233606426483e-12,1.820686187061943e-12,78.46731039935996,78.03886048446847,6.508756574809941,74.11877810530021,83.08121136522217
2.0,6.912590708491948e-10,3.9758622073436524e-10,1.5417914229645295e-09,2.055555317655548e-10,7.048375128827749e-10,34.740866164440156,34.610205293169116,1.98667441098663,33.413442441575754,36.14942040024311
2.0,2.3094455000297617e-08,2.123447267682629e-08,1.1428731644845388e-08,1.518731930756349e-08,2.7840237787712102e-08,20.75410131888227,20.710715447038943,0.6039714338590809,20.348369977532204,21.180649120645892
1.0,1.7013490303006847e-11,1.695623152421568e-11,2.352008595745128e-12,1.5285199655994933e-11,1.8426392783575014e-11,43.05906404551222,42.93268667704948,1.7421521634517088,41.88805320928742,44.28882092985375
2.0,1.1100663737501363e-09,1.0090875833307112e-09,5.780638660075645e-10,7.215645665100416e-10,1.3307598951316918e-09,26.419306769856934,26.34497943670649,1.0575850535547904,25.709792388657043,27.16700189325854
2.0,2.2382480389740992e-10,2.080000989249367e-10,1.0136268853648481e-10,1.535303726631493e-10,2.6672181808757313e-10,34.92864899408241,34.85119083497151,1.1004973561906113,34.19026501393541,35.70664354276457
2.0,2.665220379621104e-09,2.199811424758156e-09,2.159969028416643e-09,1.3909714387812466e-09,3.2162391961479917e-09,29.507353877817224,29.431292127192314,1.091215661682052,28.77563201189101,30.279132851623675
2.0,3.077466740515635e-08,2.1603567620143284e-08,4.0414183207096177e-08,1.1871346559751556e-08,3.558752555277614e-08,25.635492363168012,25.564140617665664,1.0273977470638909,24.946720576186102,26.362253672336337
1.0,8.477328065073312e-12,8.460455893745484e-12,1.047715025484332e-12,7.708323508029941e-12,9.114694210126082e-12,53.02726552282231,52.88214935756021,2.005887589482067,51.679201560923715,54.4433829326786
1.0,9.195562283590096e-11,9.209177198705323e-11,2.369633988157303e-12,9.02652604916882e-11,9.352841019893952e-11,25.634061673738252,25.62034705736532,0.18284755389014104,25.510913286605607,25.76289986176727
1.0,3.6213749062385525e-11,3.378184420902693e-11,1.561418691218658e-11,2.548239858487287e-11,4.271521840095387e-11,38.87592929089579,38.705895145556596,2.487643074718934,37.20994552690247,40.63675309425042
1.0,1.6799233824808937e-11,1.4399849478160526e-11,1.1911685321235107e-11,1.0024223626620112e-11,1.972934460446063e-11,45.36147053712278,45.06489540318227,4.582472176745407,42.303352622681714,48.61173563340111
1.0,3.259280368451508e-12,3.1572624270083194e-12,9.187980857994497e-13,2.6010678164743588e-12,3.711568439000091e-12,65.47139825804526,65.16161858263933,4.563104245799064,62.41679566669724,68.702184083531
2.0,1.1766435857956476e-09,7.485704651480402e-10,2.067974803061105e-09,4.025406677031726e-10,1.2755412181656699e-09,32.6028752630508,32.48686692889467,1.7373947364014015,31.44092715524875,33.83394772546363
